contigName	contigLen	totalAvgDepth	out.sorted.bam	out.sorted.bam-var
k99_104	1424	10.1468	10.1468	4.76947
k99_26	1996	8.55309	8.55309	7.62184
k99_379	1752	10.4619	10.4619	8.31737
k99_154	2225	8.91807	8.91807	6.03282
k99_0	2054	9.49737	9.49737	7.90332
k99_78	2838	10.0844	10.0844	7.73492
k99_179	2951	10.6394	10.6394	10.9821
k99_129	3685	9.31485	9.31485	8.60234
k99_254	3831	9.63054	9.63054	9.14124
k99_1	1116	8.13043	8.13043	5.79438
k99_354	4038	10.3637	10.3637	10.4043
k99_304	4142	11.4507	11.4507	13.6338
k99_130	1276	7.76554	7.76554	12.9352
k99_329	5233	10.2024	10.2024	9.06855
k99_305	1111	10.4703	10.4703	7.92439
k99_205	5184	9.79082	9.79082	10.982
k99_2	2467	9.34916	9.34916	10.3387
k99_155	3434	10.2329	10.2329	10.5052
k99_52	6572	9.81735	9.8175	7.67115
k99_330	1172	9.86791	9.86791	8.55163
k99_79	4691	9.80687	9.80687	7.25106
k99_27	5284	10.2672	10.2672	17.0866
k99_107	4636	11.0892	11.0892	11.3039
k99_3	2272	9.541	9.541	10.573
k99_108	1098	10.557	10.557	13.6346
k99_53	1601	8.45348	8.45348	6.54181
k99_355	5692	9.3349	9.3349	6.97098
k99_229	10297	10.1174	10.1174	10.5823
k99_306	4422	9.40684	9.40684	9.34271
k99_131	5346	9.86586	9.86586	8.77382
k99_30	1960	10.642	10.642	15.6473
k99_109	2187	9.04222	9.04222	10.1201
k99_181	7517	9.77779	9.77779	11.4653
k99_80	4245	9.3514	9.3514	7.25387
k99_256	7790	10.4096	10.4096	10.3751
k99_279	13567	9.87479	9.87479	10.0879
k99_54	5036	10.175	10.175	10.6234
k99_156	7730	9.53008	9.53008	7.79723
k99_110	3142	8.70922	8.70922	9.67887
k99_34	1160	9.24455	9.24455	5.5209
k99_5	4231	10.0353	10.0353	8.43405
k99_381	11079	9.84774	9.84774	8.15703
k99_257	2236	10.0594	10.0594	9.93985
k99_111	1334	10.0321	10.0321	13.6254
